source	term_name	term_id	adjusted_p_value	negative_log10_of_adjusted_p_value	term_size	query_size	intersection_size	effective_domain_size	intersections	log2fc	idr_fraction
GO:MF	signaling receptor activity	GO:0038023	1.907960417654e-27	26.7194306393661	1194	494	105	19375	Q8NFZ4,P07510,Q8IWK6,P55085,P23467,Q07954,O14786,O60241,Q04771,P30988,Q02846,P52797,P36894,Q13018,Q9H461,P20701,Q6UXZ3,Q9ULL4,O14514,P29317,P29322,Q9BSG5,Q13467,P47871,P07359,Q9NYZ4,O15118,P07333,P08138,Q9UM73,P36896,O15146,Q8N2Q7,Q01113,P16066,P30273,Q16671,O60391,Q9Y286,Q7RTX0,O75581,Q9NPY3,Q13261,P13224,Q08345,Q9GZZ7,P20333,P78552,P23468,Q96PQ0,P54762,O15354,Q7RTX1,Q14114,O75899,Q8NFT8,Q9NYQ7,Q6NW40,O00238,A6NF34,Q16478,Q9HDB5,P52798,Q5T2D2,Q9Y625,Q92932,Q86Y34,P11362,P38484,Q13255,P29376,O75882,Q96F46,O95944,P08571,P05106,Q9HBE5,Q14766,Q8N2S1,Q9Y4D7,P21860,P18627,Q9UBS5,P09564,Q99466,Q86YW5,Q9UM47,Q04912,P20645,Q9HCU4,Q8N441,O75462,P32297,Q8N423,P58401,Q8NER5,Q15223,P07949,O75197,Q9UIW2,P58400,P36897,P49190,O60883,Q9UHF4	1.7861998547529643	0.6571428571428571
GO:MF	molecular transducer activity	GO:0060089	1.907960417654e-27	26.7194306393661	1194	494	105	19375	Q8NFZ4,P07510,Q8IWK6,P55085,P23467,Q07954,O14786,O60241,Q04771,P30988,Q02846,P52797,P36894,Q13018,Q9H461,P20701,Q6UXZ3,Q9ULL4,O14514,P29317,P29322,Q9BSG5,Q13467,P47871,P07359,Q9NYZ4,O15118,P07333,P08138,Q9UM73,P36896,O15146,Q8N2Q7,Q01113,P16066,P30273,Q16671,O60391,Q9Y286,Q7RTX0,O75581,Q9NPY3,Q13261,P13224,Q08345,Q9GZZ7,P20333,P78552,P23468,Q96PQ0,P54762,O15354,Q7RTX1,Q14114,O75899,Q8NFT8,Q9NYQ7,Q6NW40,O00238,A6NF34,Q16478,Q9HDB5,P52798,Q5T2D2,Q9Y625,Q92932,Q86Y34,P11362,P38484,Q13255,P29376,O75882,Q96F46,O95944,P08571,P05106,Q9HBE5,Q14766,Q8N2S1,Q9Y4D7,P21860,P18627,Q9UBS5,P09564,Q99466,Q86YW5,Q9UM47,Q04912,P20645,Q9HCU4,Q8N441,O75462,P32297,Q8N423,P58401,Q8NER5,Q15223,P07949,O75197,Q9UIW2,P58400,P36897,P49190,O60883,Q9UHF4	1.7861998547529643	0.6571428571428571
GO:MF	signaling receptor binding	GO:0005102	9.4557576445474e-24	23.0243036674891	1421	494	109	19375	Q9NPR2,Q9ULT6,Q8NFZ4,P14625,Q9UBP4,Q8WVV5,P55085,O43921,Q07954,Q9Y240,P02675,Q16653,Q92896,P52797,P40225,Q8TEU8,P19875,Q9H3T2,O75094,Q8N729,P0DN87,P08648,Q12913,Q9Y6F9,P09341,Q969E3,Q8NBP7,Q13753,Q14956,P27539,Q9BT09,P19883,Q641Q3,P01024,Q99102,P12034,Q14393,Q8N2Q7,Q6ZSJ9,O15240,Q8N129,Q99835,Q9HC23,Q13445,Q9H3T3,O75581,Q76LX8,P30533,P22004,O95390,Q7KYR7,A6NKQ9,Q5DX21,P01229,P78552,P20396,P23468,Q2MKA7,P09529,Q9UP79,P04085,P21815,Q7Z4P5,Q9BY67,Q8NFT8,P18065,P19876,P32942,P09683,Q9HDB5,P52798,O95715,O95196,P11362,P04216,P48061,P41271,Q9H2A7,P22105,P49771,O00230,P55107,Q6NT52,P22301,Q9Y219,Q8N967,P57087,P05106,Q8N2S1,P21860,P18627,Q9C0C4,Q99466,P05067,P48645,Q9NTN9,O75462,Q8N423,P58401,Q6KF10,Q14696,O75460,O43612,Q8NEV9,O43555,P58400,Q6UXI9,Q9BZG2,P36897	1.589034943885793	0.6605504587155964
GO:MF	transmembrane signaling receptor activity	GO:0004888	5.65250847821651e-22	21.2477587775824	1006	494	87	19375	P07510,Q8IWK6,P55085,P23467,O14786,O60241,Q04771,P30988,P52797,P36894,Q9H461,P20701,Q6UXZ3,Q9ULL4,O14514,P29317,P29322,Q13467,P47871,P07359,Q9NYZ4,O15118,P07333,P08138,Q9UM73,P36896,O15146,Q01113,P16066,P30273,Q16671,O60391,Q7RTX0,Q13261,P13224,Q08345,Q9GZZ7,P20333,P78552,P23468,Q96PQ0,P54762,O15354,Q7RTX1,Q14114,O75899,Q8NFT8,Q9NYQ7,O00238,A6NF34,Q16478,Q9HDB5,P52798,Q92932,Q86Y34,P11362,P38484,Q13255,P29376,Q96F46,O95944,P08571,Q9HBE5,Q14766,Q8N2S1,Q9Y4D7,P21860,P18627,Q9UBS5,Q86YW5,Q04912,P20645,Q9HCU4,Q8N441,O75462,P32297,Q8N423,P58401,Q8NER5,P07949,O75197,Q9UIW2,P58400,P36897,P49190,O60883,Q9UHF4	1.762070364394848	0.632183908045977
GO:MF	transmembrane receptor protein kinase activity	GO:0019199	9.384050431046e-19	18.0276096669341	80	494	25	19375	O14786,Q04771,P52797,P36894,P29317,P29322,P07333,Q9UM73,P36896,O15146,Q16671,Q08345,P54762,O00238,P52798,P11362,P29376,Q14766,Q8N2S1,P21860,Q04912,Q8N441,Q8NER5,P07949,P36897	3.6154695532390093	0.48
GO:MF	extracellular matrix structural constituent	GO:0005201	4.03500651139477e-18	17.3941557601091	168	494	33	19375	Q86XX4,P25067,P02675,P13611,P78539,O95967,P24043,Q14050,Q13753,P15502,Q8IZC6,Q8IUX7,Q8NFW1,Q9BXN1,Q9NZW4,Q99102,P98095,Q6W4X9,P98088,P20774,Q16270,P22105,P51888,Q92954,P25940,Q14766,P11047,Q8N2S1,Q02505,Q96CG8,Q7Z5L7,P12111,Q6UXI9	2.9456181549313403	0.7575757575757576
GO:MF	receptor regulator activity	GO:0030545	4.50063689285385e-15	14.346726024118	417	494	46	19375	Q9NPR2,Q9UBP4,Q9Y240,P40225,Q8TEU8,P19875,Q9H3T2,P0DN87,Q9Y6F9,P09341,Q8NBP7,Q14956,P27539,P19883,Q641Q3,P12034,Q14393,O15240,Q9H3T3,P30533,P22004,O95390,A6NKQ9,P01229,P20396,P09529,P04085,Q7Z4P5,P19876,P09683,O95715,O95196,P48061,P41271,Q9H2A7,O00230,P55107,Q6NT52,P22301,Q9Y219,Q9C0C4,Q9NTN9,O75462,Q6KF10,O43612,O43555	2.113199840963996	0.6521739130434783
GO:MF	receptor ligand activity	GO:0048018	4.19644758047728e-14	13.3771181974649	372	494	42	19375	Q9NPR2,Q9Y240,P40225,P19875,Q9H3T2,P0DN87,Q9Y6F9,P09341,Q14956,P27539,Q641Q3,P12034,Q14393,O15240,Q9H3T3,P30533,P22004,O95390,A6NKQ9,P01229,P20396,P09529,P04085,Q7Z4P5,P19876,P09683,O95715,O95196,P48061,P41271,Q9H2A7,O00230,P55107,Q6NT52,P22301,Q9Y219,Q9C0C4,Q9NTN9,O75462,Q6KF10,O43612,O43555	2.146700070022376	0.6904761904761905
GO:MF	signaling receptor activator activity	GO:0030546	5.4672064187575e-14	13.2622345286629	376	494	42	19375	Q9NPR2,Q9Y240,P40225,P19875,Q9H3T2,P0DN87,Q9Y6F9,P09341,Q14956,P27539,Q641Q3,P12034,Q14393,O15240,Q9H3T3,P30533,P22004,O95390,A6NKQ9,P01229,P20396,P09529,P04085,Q7Z4P5,P19876,P09683,O95715,O95196,P48061,P41271,Q9H2A7,O00230,P55107,Q6NT52,P22301,Q9Y219,Q9C0C4,Q9NTN9,O75462,Q6KF10,O43612,O43555	2.1312700294527698	0.6904761904761905
GO:MF	transmembrane receptor protein tyrosine kinase activity	GO:0004714	1.05087439854674e-10	9.97844918813708	61	494	16	19375	O14786,P52797,P29317,P29322,P07333,Q9UM73,O15146,Q08345,P54762,P52798,P11362,P29376,P21860,Q04912,Q8N441,P07949	3.362804120788761	0.5625
