ID	pa_bladder	pa_crc	pa_liver	pa_prostate	pa_thyroid	pa_brain	pa_endometrium	pa_lung	pa_skin	pa_breast	pa_hnn	pa_ovary	pa_stomach	pa_cervix	pa_kidney	pa_pancreas	pa_testis
Q09666	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_unfav	NA
A0MZ66	pa_unfav	NA	NA	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92743	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
O95302	pa_unfav	NA	pa_unfav	NA	NA	pa_unfav	NA	NA	NA	NA	pa_unfav	NA	NA	pa_unfav	NA	NA	NA
Q14393	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14574	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q07954	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
P78559	pa_unfav	NA	NA	NA	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
Q96AG4	pa_unfav	pa_fav	pa_unfav	NA	NA	NA	NA	NA	NA	NA	pa_unfav	NA	NA	NA	pa_fav	pa_unfav	NA
Q8IVF2	pa_unfav	NA	NA	NA	NA	NA	NA	pa_unfav	NA	NA	NA	NA	NA	NA	NA	pa_unfav	NA
A0PJZ3	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
P24043	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NQX3	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_unfav	NA	NA
O75822	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28290	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_unfav	pa_unfav	NA
Q13950	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_unfav	NA	pa_fav	NA	NA
P25940	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
Q6UB35	pa_unfav	NA	pa_unfav	NA	NA	NA	pa_unfav	NA	NA	NA	pa_unfav	NA	NA	pa_unfav	NA	NA	NA
P11047	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51888	pa_unfav	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
Q9ULI3	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pa_fav	NA	NA
Q5FYB1	pa_unfav	NA	NA	NA	NA	NA	NA	pa_unfav	NA	NA	NA	NA	NA	NA	NA	NA	NA
