ID	bladder_pa_unfav	bladder_pa_fav	crc_pa_fav	crc_pa_unfav	liver_pa_fav	liver_pa_unfav	prostate_pa_unfav	prostate_pa_fav	thyroid_pa_fav	thyroid_pa_unfav	brain_pa_fav	brain_pa_unfav	endometrium_pa_fav	endometrium_pa_unfav	lung_pa_fav	lung_pa_unfav	skin_pa_unfav	skin_pa_fav	breast_pa_unfav	breast_pa_fav	hnn_pa_fav	hnn_pa_unfav	ovary_pa_unfav	ovary_pa_fav	stomach_pa_fav	stomach_pa_unfav	cervix_pa_unfav	cervix_pa_fav	kidney_pa_fav	kidney_pa_unfav	pancreas_pa_unfav	pancreas_pa_fav	testis_pa_unfav	testis_pa_fav
Q09666	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A0MZ66	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q92743	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O95302	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Q14393	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14574	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P78559	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Q96AG4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
Q8IVF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
